colour	x	y	label	fill
#F8766D	0.523601565960801	0.804776006703069	1	#F8766D
#D89000	0.625582700129323	0.671496269832581	2	#D89000
#A3A500	0.185141544020611	0.474051182104694	3	#A3A500
#39B600	0.624865821533456	0.710165376571351	4	#39B600
#00BF7D	0.467710518615711	0.58917572090546	5	#00BF7D
#00BFC4	0.518116446553507	0.669663636993205	6	#00BFC4
#00B0F6	0.447646730326283	0.616267277948811	7	#00B0F6
#9590FF	0.357870462606382	0.611882837950121	8	#9590FF
#E76BF3	0.591671521580986	0.698931345108007	9	#E76BF3
#FF62BC	0.562774985759153	0.713218011723814	10	#FF62BC
