colour	x	y	label	fill
#F8766D	0.954545454545455	0.880192916488294	1	#F8766D
#D89000	0.116564650702798	0.532094232491852	2	#D89000
#A3A500	0.295590784606948	0.0454545454545454	3	#A3A500
#39B600	0.0454545454545454	0.878699655587916	4	#39B600
#00BF7D	0.323522191315448	0.625860722676406	5	#00BF7D
#00BFC4	0.398222433824882	0.400563757973205	6	#00BFC4
#00B0F6	0.869093622451355	0.714025747883975	7	#00B0F6
#9590FF	0.301693043749227	0.780463742966317	8	#9590FF
#E76BF3	0.574914717394809	0.625832213784758	9	#E76BF3
#FF62BC	0.257656286894342	0.845941117452859	10	#FF62BC
